iter	Passed	Remaining
0	145	145245
1	386	192663
2	521	173151
3	635	158239
4	994	197891
5	1124	186273
6	1198	169972
7	1275	158216
8	1342	147794
9	1401	138788
10	1467	131900
11	1527	125746
12	1596	121238
13	1651	116341
14	1721	113040
15	1779	109438
16	1847	106856
17	1926	105079
18	1995	103010
19	2055	100711
20	2123	99018
21	2189	97347
22	2295	97521
23	2392	97315
24	2488	97070
25	2584	96823
26	2655	95707
27	2737	95031
28	2837	95017
29	2940	95089
30	3040	95030
31	3125	94544
32	3218	94322
33	3316	94239
34	3428	94532
35	3507	93925
36	3588	93387
37	3647	92332
38	3721	91709
39	3789	90946
40	3851	90076
41	3946	90017
42	4046	90053
43	4140	89963
44	4217	89504
45	4282	88810
46	4344	88099
47	4405	87369
48	4468	86726
49	4538	86232
50	4615	85885
51	4674	85217
52	4739	84691
53	4797	84048
54	4858	83481
55	4917	82900
56	4981	82407
57	5039	81853
58	5102	81381
59	5170	81010
60	5232	80542
61	5291	80062
62	5344	79481
63	5406	79068
64	5473	78736
65	5537	78364
66	5596	77928
67	5658	77557
68	5717	77150
69	5789	76915
70	5852	76574
71	5912	76208
72	5984	76001
73	6044	75641
74	6106	75313
75	6166	74976
76	6224	74613
77	6289	74340
78	6349	74022
79	6412	73740
80	6469	73398
81	6532	73134
82	6594	72857
83	6652	72541
84	6718	72324
85	6779	72052
86	6846	71846
87	6913	71646
88	6975	71405
89	7036	71147
90	7108	71003
91	7186	70923
92	7245	70658
93	7316	70515
94	7376	70273
95	7439	70056
96	7499	69810
97	7560	69591
98	7619	69340
99	7684	69160
100	7748	68969
101	7806	68729
102	7867	68519
103	7937	68387
104	8015	68322
105	8102	68339
106	8188	68335
107	8268	68294
108	8346	68227
109	8427	68188
110	8501	68086
111	8576	68002
112	8654	67936
113	8746	67980
114	8824	67910
115	8895	67792
116	9019	68072
117	9186	68668
118	9341	69155
119	9445	69266
120	9527	69211
121	9596	69063
122	9662	68894
123	9726	68715
124	9787	68515
125	9856	68369
126	10006	68782
127	10109	68872
128	10186	68779
129	10281	68805
130	10405	69024
131	10507	69091
132	10621	69237
133	10718	69270
134	10835	69427
135	10914	69337
136	10988	69217
137	11064	69110
138	11145	69039
139	11255	69141
140	11382	69346
141	11505	69520
142	11607	69561
143	11695	69524
144	11810	69642
145	11921	69735
146	12013	69712
147	12089	69595
148	12152	69409
149	12225	69279
150	12295	69133
151	12375	69044
152	12448	68911
153	12512	68737
154	12570	68529
155	12641	68396
156	12703	68208
157	12755	67974
158	12816	67791
159	12879	67617
160	12940	67436
161	13003	67263
162	13079	67164
163	13146	67016
164	13202	66813
165	13266	66652
166	13329	66488
167	13402	66376
168	13482	66297
169	13557	66194
170	13630	66078
171	13695	65931
172	13760	65778
173	13826	65636
174	13898	65520
175	13979	65450
176	14044	65300
177	14099	65111
178	14165	64969
179	14246	64901
180	14316	64779
181	14379	64627
182	14442	64480
183	14504	64322
184	14564	64162
185	14628	64020
186	14699	63906
187	14762	63761
188	14823	63609
189	14886	63461
190	14963	63378
191	15052	63346
192	15143	63319
193	15231	63282
194	15335	63308
195	15434	63312
196	15552	63392
197	15719	63670
198	15917	64068
199	16047	64188
200	16118	64072
201	16186	63944
202	16258	63831
203	16330	63720
204	16397	63590
205	16466	63468
206	16542	63373
207	16623	63295
208	16686	63153
209	16743	62985
210	16801	62826
211	16868	62701
212	16926	62539
213	16983	62377
214	17052	62259
215	17108	62096
216	17160	61919
217	17214	61750
218	17287	61652
219	17359	61548
220	17414	61383
221	17472	61231
222	17536	61101
223	17587	60928
224	17653	60807
225	17732	60729
226	17819	60682
227	17883	60554
228	17962	60476
229	18016	60315
230	18076	60176
231	18132	60026
